data,cultura,solo,temperatura,umidade,crescimento
2025-01-01,milho,arenoso,27.973216803148006,36.87357366378623,2.7203840189024433
2025-01-02,milho,arenoso,15.737059083340592,74.23372969738082,2.2202999608493985
2025-01-03,milho,arenoso,26.820808743166594,51.718452518709185,1.8712662809075316
2025-01-04,milho,arenoso,34.454444909898854,41.07481470315675,2.001290195634116
2025-01-05,milho,arenoso,18.265641994316756,37.76304202752745,2.0660933808096096
2025-01-06,milho,arenoso,23.58414783526073,75.27631499917149,0.6588500555592174
2025-01-07,milho,arenoso,21.331027409463434,78.89217345311809,2.4477228297187885
2025-01-08,milho,arenoso,30.3041243369157,73.61315590198726,1.1725118656574258
2025-01-09,milho,arenoso,16.863499342690233,46.394038549825794,2.4001518198703926
2025-01-10,milho,arenoso,31.322949307632374,71.64371495390274,1.7140322745078298
2025-01-11,milho,arenoso,17.812266711233097,46.06903550532637,1.7160710960594694
2025-01-12,milho,arenoso,26.243941420315217,64.47104378634411,2.675734231890933
2025-01-13,milho,arenoso,21.728189153306136,57.70627377463007,1.6281789713582053
2025-01-14,milho,arenoso,30.244652951361118,58.30577998074847,2.0655444203051383
2025-01-15,milho,arenoso,15.59743379571739,46.9115679801093,1.9357189095166583
2025-01-16,milho,arenoso,33.78427540303554,65.30234583289824,2.5184956976496613
2025-01-17,milho,arenoso,20.370176958477316,63.75816117737592,1.5690505707294966
2025-01-18,milho,arenoso,33.03204899772538,55.547880679227795,1.1582455525533066
2025-01-19,milho,arenoso,26.135410187947762,77.20342314388506,2.519548406299559
2025-01-20,milho,arenoso,17.139903511984,62.671164715354514,2.047363647864659
2025-01-21,milho,arenoso,17.60658926052079,62.02635537123078,1.7582450680288948
2025-01-22,milho,arenoso,34.211997470836096,34.28512412101785,1.7924357730970923
2025-01-23,milho,arenoso,29.27929445895553,69.6043882423192,1.5561538360307763
2025-01-24,milho,arenoso,22.607492931249617,57.96309773655625,1.6565545258020067
2025-01-25,milho,arenoso,27.221544981836153,63.96874452228242,1.8733780722387483
2025-01-26,milho,arenoso,34.004786793360026,60.031173851592385,2.448930895184696
2025-01-27,milho,arenoso,18.392041342207456,71.79990770796573,2.7468675301911025
2025-01-28,milho,arenoso,26.718120206115877,68.0972227814901,2.119235287010249
2025-01-29,milho,arenoso,19.040575958447135,76.12745892145325,3.0097733766630004
2025-01-30,milho,arenoso,19.930814763540283,43.01199642701832,2.3033028265573687
2025-01-31,milho,arenoso,30.700438751881393,62.55970868292853,1.0368658843114478
2025-02-01,milho,arenoso,25.512335652620738,39.56356578128341,2.0095223570537986
2025-02-02,milho,arenoso,20.656822234507388,46.45253406294688,2.5101230452374943
2025-02-03,milho,arenoso,29.76515599225327,43.51060414684002,2.5617738235514294
2025-02-04,milho,arenoso,17.26997541111303,65.84579652501415,1.7835520619043743
2025-02-05,milho,arenoso,32.52906720571225,31.876347386120674,2.5646701196993025
2025-02-06,milho,arenoso,27.386372252593727,79.35091929044464,2.8796138455032096
2025-02-07,milho,arenoso,19.46950588959893,70.96846045657225,1.8213828168866415
2025-02-08,milho,arenoso,33.17891701139942,74.72551553498619,2.7713606122244894
2025-02-09,milho,arenoso,22.306436555383513,45.21524634556724,1.9221944558762813
2025-02-10,milho,arenoso,16.910057344739137,44.79181453745288,2.302459059808889
2025-02-11,milho,arenoso,28.381129183517544,42.028565686690264,2.0857580600403667
2025-02-12,milho,arenoso,25.132111684766116,55.33553429828305,1.624617153781233
2025-02-13,milho,arenoso,34.55537641468,76.67571111541719,1.282633464981652
2025-02-14,milho,arenoso,26.155822416181127,62.0360829190122,1.5173358758408138
2025-02-15,milho,arenoso,34.115896867048065,51.30595032720984,2.1635331485642317
2025-02-16,milho,arenoso,17.896615105122816,61.562763938365684,1.2772624440449274
2025-02-17,milho,arenoso,27.71221623504958,46.9920915550227,1.2775680462487211
2025-02-18,milho,arenoso,25.975548744337267,79.84095163200908,1.7942963585451803
2025-02-19,milho,arenoso,22.04276479991944,33.34977563458644,1.8790219162234951
2025-02-20,milho,arenoso,28.54268808491822,64.45451872889163,2.4702604716430705
2025-02-21,milho,arenoso,29.560195361479575,79.06441654312573,2.462606718200685
2025-02-22,milho,arenoso,27.554497869897478,38.44671316191645,1.663678795882344
2025-02-23,milho,arenoso,27.34631349709754,77.28396130404505,2.2803827582770424
2025-02-24,milho,arenoso,19.787355705963385,34.70531707230297,1.9951125212516005
2025-02-25,milho,arenoso,16.146334299803044,37.99259782397402,1.3911743082733814
2025-02-26,milho,arenoso,22.125105715023604,39.552578796240944,2.0227308818735685
2025-02-27,milho,arenoso,31.376612100027295,58.923941104956555,1.5569978002271245
2025-02-28,milho,arenoso,19.772341388451387,51.03210709367471,3.6162099139856205
2025-03-01,milho,arenoso,27.371265893009507,70.80359080848177,1.7544970948309113
2025-03-02,milho,arenoso,16.608650339014556,59.77080189967512,1.5776315544783648
2025-03-03,milho,arenoso,28.640885256625303,64.59052209097254,2.841626846481873
2025-03-04,milho,arenoso,31.887925770606188,49.521517955751484,1.833239531468437
2025-03-05,milho,arenoso,25.71079046671425,43.244114766766934,1.5840022417544104
2025-03-06,milho,arenoso,22.678323409727398,32.6292388825215,1.9214523534305494
2025-03-07,milho,arenoso,16.755100030174752,55.315788088168475,2.66125323924746
2025-03-08,milho,arenoso,27.737752546352517,76.67111409539027,1.6797560157998677
2025-03-09,milho,arenoso,27.21340025532357,67.78123391642623,1.8006275849653939
2025-03-10,milho,arenoso,28.962947019208773,30.62138470439922,2.680149858896502
